Gene,n_links,max_abs_r,log2FoldChange,DESeq2_padj
Zm00001d035212,670,0.8284821309712449,1.1637611802621195,2.846972080928686e-06
Zm00001d036956,636,0.8779827054453558,2.2415662575392314,0.00016227433004413505
Zm00001d007768,610,0.8934430826327007,1.9851974861937418,2.789587288256089e-05
Zm00001d022060,524,0.8981992841798566,4.284850322337435,2.5603214633410993e-11
Zm00001d053997,518,0.8477332575851192,-0.985858210672874,0.00014377846877692402
Zm00001d047366,486,0.877447214885758,1.3674749505784352,2.2231208091363013e-05
Zm00001d018786,474,0.8630495755848088,3.40657715753268,2.538456956736906e-06
Zm00001d049769,455,0.8461999706195137,1.7011717546950773,1.9428687838280764e-06
Zm00001d003767,438,0.8822598647648001,1.8595860594091524,0.0003566672113259939
Zm00001d045497,413,0.8712631952415205,-0.718404758335804,8.227473321154395e-07
Zm00001d002836,412,0.8734307823274463,-1.8540390592653608,3.056167052825619e-11
Zm00001d018297,387,0.832331094221371,1.1920527495643363,3.217935775246889e-14
Zm00001d048083,377,0.8598146283745863,3.547235418393687,0.0003785424557035607
Zm00001d043762,360,0.8828062113546956,-1.228074513413733,7.590368028312048e-08
Zm00001d033109,339,0.8691372390045753,0.864412829665129,3.4384059995013887e-07
Zm00001d042727,332,0.9009927841886275,2.6747020646103894,5.900047630413652e-11
Zm00001d034359,329,0.9454029938236584,2.4635369916669867,8.660971602193893e-07
Zm00001d026448,325,0.8319896212629573,1.225343540736025,0.0004135204753993681
Zm00001d023877,308,0.8788616277965403,1.55916099963054,2.6325528181755155e-05
Zm00001d021689,303,0.9441644234660195,2.072705057664606,4.109936462595961e-05
Zm00001d012708,303,0.8373198030827602,1.5745709321801489,6.407443825718331e-08
Zm00001d012140,291,0.9104791165860249,-0.6316275675403347,0.00011449873848507801
Zm00001d010321,286,0.8870610368815125,-3.4317171545725293,2.2617777023694313e-05
Zm00001d029342,280,0.8659721195239058,-0.6169679964517113,0.000251280131869709
Zm00001d012126,280,0.8045249813263368,0.8877820413682456,5.499987764267373e-06
Zm00001d021879,275,0.8708741793653215,1.4186520523674584,2.9802393626234435e-06
Zm00001d013429,268,0.9101430666734133,4.992269287977063,2.645451572953999e-07
Zm00001d013385,267,0.8799483029648102,1.856290879497924,1.4963557555237437e-05
Zm00001d003468,262,0.7907965093767427,1.1587469024079917,0.00010336659451566767
Zm00001d016271,261,0.8980910324538125,2.9818450790928557,5.5324043606009775e-05
Zm00001d042969,260,0.8854813634743682,2.98580412085683,2.586582197272809e-06
Zm00001d025208,260,0.8830327238540818,1.1642701200964216,0.00010225390753902527
Zm00001d008619,258,0.8845274689084721,-0.5851316289727762,2.9802393626234435e-06
Zm00001d016956,253,0.8672616453505578,1.6203298379950761,0.00013712246451222517
Zm00001d051238,253,0.8468044382238918,1.2656193362901758,0.00024756359444754773
Zm00001d053715,250,0.7966854639105277,-2.4944323081977466,3.670473304093324e-07
Zm00001d015293,244,0.7873753793305969,-0.4299572853931634,0.00040398765551223083
Zm00001d005539,240,0.8964296314281014,-0.42369026014287425,6.7992569525145445e-06
Zm00001d051288,238,0.8554225608236145,1.5639385837434527,1.256816921192416e-06
Zm00001d022619,237,0.8376973479040681,1.6693754172630617,0.0002468061903740822
Zm00001d008283,236,0.8648049352651981,2.943199736082115,2.829303537402111e-08
Zm00001d001773,235,0.7969970471737007,1.3386098006197185,3.8752909651221414e-07
Zm00001d021645,229,0.8018715522411557,0.9911068180232238,0.00032569206195158447
Zm00001d019221,224,0.810833965854806,1.3695088874534311,1.839898381576447e-05
Zm00001d027570,223,0.7962454642507786,0.7588197979815631,9.266045656312049e-05
Zm00001d045540,220,0.8244990778072282,1.030945983751035,0.02960854393410835
Zm00001d034497,219,0.8995703756662721,1.9963756784458229,5.988169213741053e-08
Zm00001d006422,216,0.9060591948272095,-0.4080468146044475,1.2714467430408948e-05
Zm00001d036640,216,0.8836426102910068,2.951995174731424,1.3618103936173531e-06
Zm00001d034624,212,0.8792632535259411,-0.6527284225255685,7.430960696473602e-05
Zm00001d034569,211,0.8235728310461998,1.1022665063321777,0.00023632719565398126
Zm00001d049602,209,0.8382254544684674,2.391912165510848,0.0006823110887184299
Zm00001d030939,207,0.8403975133391786,0.7131470706471518,4.044131033151151e-05
Zm00001d043519,207,0.7974528272423648,1.1229246908929733,0.00032569206195158447
Zm00001d026387,206,0.8997997204115312,1.384832911521519,0.00039712793533738653
Zm00001d029563,201,0.820113219226252,1.3111073081349454,0.0005116966197854484
Zm00001d038703,199,0.8203875381609584,0.500134690358124,0.47759559834873044
Zm00001d045667,197,0.828269252527567,1.001158429108332,8.015408738185391e-05
Zm00001d044382,194,0.8533332982760757,1.7071672197419803,0.0005765993741810501
Zm00001d044172,193,0.8443786235260858,-0.3671090258786683,0.0006759765158043365
Zm00001d006016,193,0.8399911009586724,2.8553128106743784,2.3980301062967702e-08
Zm00001d016918,193,0.8296183566900178,-0.720102003978242,0.00025919733877141464
Zm00001d023617,193,0.8095709412253118,-1.365298388357968,2.807279997292395e-05
Zm00001d044594,192,0.8587076864282586,3.36927439966442,2.4804107659207865e-05
Zm00001d019298,191,0.9189650103423926,1.7435833587689629,0.0006357621964520441
Zm00001d018036,188,0.8211768616692765,-0.5397066175640725,6.170172951187009e-05
Zm00001d021070,185,0.7972128596663347,-0.5598606291567368,0.00017054637754921053
Zm00001d013635,183,0.826065764205875,1.4570517457253715,0.0009133308865002581
Zm00001d046722,181,0.8365917439850764,-1.4496817418591332,0.0003704853612661266
Zm00001d032215,181,0.8276238518297482,1.3664376292221803,0.00010175672227224874
Zm00001d023579,179,0.8359372048217021,0.9593176911850486,6.7992569525145445e-06
Zm00001d011253,178,0.8265201822870953,3.7372348473535277,7.430960696473602e-05
Zm00001d042779,178,0.8139009436931537,1.7824097637926464,1.771930979358517e-06
Zm00001d015429,176,0.8140667840917373,-0.7307657851081035,2.7366036378891234e-06
Zm00001d027283,173,0.8487179136527211,2.405023237621527,1.0307925193577973e-06
Zm00001d008890,171,0.8271077364069501,1.2626283333583714,0.00020459101610326781
Zm00001d023371,169,0.8478360513063206,1.0006064279969156,3.222089907334029e-05
Zm00001d023431,167,0.821474426217057,1.0605846595434933,1.9402615111416105e-06
Zm00001d040383,165,0.8423109215533156,0.7575349048799407,2.2231208091363013e-05
Zm00001d052010,163,0.7864696900210641,1.210747886373485,0.00017366442332248137
Zm00001d026284,158,0.7885891627214672,0.9853772712420541,0.0007092605403363263
Zm00001d025513,155,0.8649091189603838,0.8177013430306045,0.0004989987811976497
Zm00001d018699,154,0.7712240008196474,-1.66797196492211,7.207309626349147e-05
Zm00001d017501,153,0.8470814455261645,-0.6775207080862555,4.06085734983199e-06
Zm00001d027655,153,0.8229484305061034,1.7737806121446686,1.2134217057105284e-07
Zm00001d051913,153,0.8146168548241761,-0.8398417826158653,0.00024030013574904906
Zm00001d007442,152,0.859589091963386,-0.7928351390790491,2.016561136676787e-05
Zm00001d012265,151,0.8905293586338598,0.8007842513738757,0.0005342152965223236
Zm00001d029353,151,0.8292645736422254,2.053991625449565,0.0004761234374828419
Zm00001d038318,151,0.8098327881800084,0.4347302103408252,0.00041615570003258575
Zm00001d014559,150,0.8681402797706629,1.3528515155406482,0.0003986049829515374
Zm00001d044497,149,0.830669868317942,-1.5669509864007265,1.0689533443240059e-15
Zm00001d009938,149,0.8150782023596903,-2.021666033476741,0.0002088458911269263
Zm00001d014953,147,0.8461517885443236,-0.6218513058284572,0.00025247606211350825
Zm00001d005743,147,0.8299249990055846,-2.354947143183855,9.246347991952626e-07
Zm00001d049289,138,0.7953033079365458,4.002942928408677,1.8854149469898128e-06
Zm00001d023529,137,0.8257348833039834,1.4391532144525399,0.000627587817672011
