,cluster
C_1335_184.0638mz_1.83min_423_,5
C_22629_162.1124mz_2.19min_245_,5
C_744_205.0683mz_1.63min_8508_,5
C_23952_261.1806mz_2.44min_74228_,5
C_23368_183.0866mz_2.34min_35683_,5
C_1338_186.0597mz_1.83min_7065_,5
C_25986_165.0279mz_2.97min_98773_,5
C_665_221.0418mz_1.59min_1535_,5
C_23769_145.1050mz_2.42min_4640_,5
C_22172_131.0895mz_2.08min_71952_,5
C_40490_764.2762mz_6.99min_90268_,5
C_36346_160.0968mz_6.12min_578_,5
C_34555_248.1492mz_5.65min_13963_,5
C_23805_144.1019mz_2.43min_377_,5
C_2751_280.1950mz_10.21min_55121_,5
C_25806_146.1175mz_2.95min _416_DEOXYCARNITINE),5
C_14069_261.6223mz_14.19min_98932_,5
C_1097_185.0686mz_1.76min_9360_,5
C_1552_299.1269mz_1.89min_36712_,5
C_48738_230.6601mz_9.06min_33895_,5
C_23911_146.1059mz_2.44min_9698_,5
C_26628_160.5618mz_3.00min_90346_,5
C_22732_163.1100mz_2.20min_87612_,5
C_23916_247.2013mz_2.44min_13890_,5
C_26722_129.5235mz_3.02min_101753_,5
C_6916_337.7389mz_11.47min_102338_,5
C_6884_336.7362mz_11.47min_6580_,5
C_554_223.0743mz_1.54min _54105_CYSTATHIONINE),5
C_788_272.1340mz_1.65min_36624_,5
C_22822_293.6258mz_2.22min_37916_,5
C_6796_343.7437mz_11.43min_62439_,5
C_6927_337.2375mz_11.48min_31876_,5
C_732_206.0704mz_1.62min_96953_,5
C_6908_237.4753mz_11.47min_79736_,5
C_26643_125.0349mz_3.01min_16656_,5
C_1364_186.0679mz_1.83min_88380_,5
C_28754_659.1981mz_3.55min_101332_,5
C_22641_164.1166mz_2.19min_9633_,5
C_22146_130.0863mz_2.08min_9006_,5
C_37432_701.2102mz_6.35min_54175_,5
C_15509_262.6301mz_14.90min_81346_,5
C_37132_387.0894mz_6.29min_88389_,5
C_1354_319.5853mz_1.83min_52323_,5
C_32501_131.0704mz_4.96min _3444_MEVALOLACTONE),5
C_39909_351.6745mz_6.87min_90272_,5
C_36354_205.1544mz_6.12min_29287_,5
C_9999_187.5912mz_12.58min_38023_,5
C_6909_355.7093mz_11.47min_79775_,5
C_36327_161.1003mz_6.11min_58834_,5
C_4946_329.7281mz_10.89min_79782_,5
C_40194_246.1335mz_6.94min_30245_,5
C_19388_195.1744mz_17.00min_31257_,5
C_36300_100.0761mz_6.11min_1113_,5
C_39643_202.1075mz_6.81min_56714_,5
C_22199_337.0203mz_2.09min_14144_,5
C_876_184.1077mz_1.68min_37724_,5
C_12897_322.2072mz_13.73min_106016_,5
C_41313_287.1603mz_7.17min_27577_,5
C_48906_440.1995mz_9.10min_90295_,5
C_49129_577.2841mz_9.16min_29321_,5
C_40296_114.5310mz_6.96min_82402_,5
C_795_140.5389mz_1.65min_98617_,5
C_6061_409.2186mz_11.19min_89399_,5
C_15129_274.2011mz_14.67min_106135_,5
C_27964_245.1134mz_3.36min_79447_,5
C_23562_244.0517mz_2.37min_38516_,5
C_5703_329.7282mz_11.08min_79737_,5
C_49121_278.1548mz_9.16min_13673_,5
C_27243_125.0348mz_3.14min_94562_,5
C_42400_405.1012mz_7.42min_52331_,5
C_12981_321.2039mz_13.77min_32771_,5
C_9863_167.0778mz_12.54min_34048_,5
C_49705_433.7439mz_9.30min_25142_,3
C_51538_447.1754mz_9.78min_102784_,5
C_15451_467.2609mz_14.87min_101596_,5
C_23962_248.2045mz_2.44min_106869_,5
C_42389_386.1277mz_7.42min_16996_,5
C_36334_182.0791mz_6.11min_72038_,5
C_48660_180.1019mz_9.03min_92562_,5
C_40529_356.0407mz_7.00min_52345_,5
C_48892_297.1284mz_9.10min_37792_,5
C_35969_343.0787mz_5.96min_65932_,5
C_22303_336.0135mz_2.11min_12112_,5
C_49122_555.3027mz_9.16min_13745_,5
C_16834_365.2683mz_15.51min_43177_,5
C_32340_176.1281mz_4.91min_101921_,5
C_38289_393.6668mz_6.53min_29854_,5
C_8253_174.5777mz_11.93min_32736_,5
C_39865_356.0406mz_6.86min_65401_,5
C_40509_316.0483mz_7.00min_17054_,5
C_16693_298.2011mz_15.44min_30026_,5
C_51576_445.6716mz_9.80min_1987_,5
C_2647_445.1992mz_10.19min_635_,5
