Gene,log2FC_RvS,t,p_welch,FDR_welch,p_wilcoxon,FDR_wilcoxon
Zm00001d018297,1.190878167156317,9.258429668879392,2.0322243996303267e-14,4.4005787149595097e-10,3.328877628743811e-11,7.208351617281848e-07
Zm00001d051288,1.7429545442107517,6.762837666863549,1.7873537481354176e-09,1.9351679031062168e-05,1.9113384286642064e-08,8.033392903594831e-05
Zm00001d002836,-1.3197795149248281,-6.573081562748689,4.165427096224112e-09,2.8508368531613387e-05,2.2259331957868748e-08,8.033392903594831e-05
Zm00001d036956,1.4271502843159145,6.5761226877484305,5.266162100602824e-09,2.8508368531613387e-05,8.303991256290864e-08,0.00018424381592571163
Zm00001d035926,-1.6227070126066172,-6.349255514780803,4.3255837345587435e-08,0.00012650401105131144,9.61201615134767e-11,1.0406929887064124e-06
Zm00001d044497,-1.3580406805935308,-6.024279487051637,4.5809069235423565e-08,0.00012650401105131144,6.041740090719731e-08,0.00018040847829220178
Zm00001d026387,1.4476208042211005,6.027559678929632,4.601172372587409e-08,0.00012650401105131144,1.6689648191515757e-07,0.00026495469005653315
Zm00001d029963,1.5811047149530477,6.293194038378456,4.673649618594678e-08,0.00012650401105131144,1.8353746886709142e-07,0.00026495469005653315
Zm00001d042035,1.8891317391394127,5.799196922432412,1.4496953305631002e-07,0.00034263286358270355,2.8243013386176655e-06,0.0016094058206954454
Zm00001d051873,-1.0342570370381106,-5.828083783107146,1.5823074886058168e-07,0.00034263286358270355,9.376588910263795e-08,0.0001845824147844111
Zm00001d022060,1.1342288695804685,5.940883069823689,2.05804932653589e-07,0.00037166474012999344,2.804542165813481e-07,0.00037955972536578194
Zm00001d001773,1.3628618360333995,5.6842201936059045,2.0596549743973039e-07,0.00037166474012999344,6.665132660652139e-08,0.00018040847829220178
Zm00001d021879,1.5154091699408423,5.623242473341615,2.478088704029647e-07,0.00041277332920813836,1.7502587014428005e-07,0.00026495469005653315
Zm00001d046263,-0.8487835134133785,-5.595897181053134,2.8456895445834523e-07,0.0004278800861320218,9.226048159396915e-07,0.0009080947583799127
Zm00001d051900,1.1618866306213187,5.588061850661412,2.989912310142049e-07,0.0004278800861320218,4.0674914656728357e-07,0.00048545380388216624
Zm00001d008619,-0.5451135830485532,-5.5678347306980305,3.258304601450869e-07,0.0004278800861320218,1.2057041601198895e-06,0.0010443327153294435
Zm00001d043762,-1.1125956624258877,-5.591669996212572,3.359176809940136e-07,0.0004278800861320218,1.7260675661574882e-08,8.033392903594831e-05
Zm00001d053715,-2.1140714508471645,-5.506948109270899,4.0836254249593673e-07,0.0004912601386226119,2.948061029748026e-06,0.0016368541932862502
Zm00001d040357,-0.432332660686944,-5.47649510128984,4.547748422119405e-07,0.0005182997070135452,3.4235025193303156e-06,0.0016473894123017476
Zm00001d017640,1.1171909205678328,5.380100546313228,6.865143874394909e-07,0.0007432891272807368,3.4235025193303156e-06,0.0016473894123017476
Zm00001d009938,-1.3117674051269974,-5.362041833261291,7.345604077672735e-07,0.0007574367176091686,5.676679975428124e-06,0.002276348670146678
Zm00001d021582,-0.605855642851834,-5.308393595691837,9.191020018096314e-07,0.0009046470339629891,2.647964643443278e-06,0.001549703415922182
Zm00001d036136,1.3677536080597466,5.292101723079785,1.0063450188360413e-06,0.0009163094416187219,2.2278832542401177e-06,0.0013783595424947288
Zm00001d019221,1.3277346637346974,5.2706120584990375,1.0574606818280203e-06,0.0009163094416187219,1.3174158836013237e-06,0.0010565675386482616
Zm00001d003950,0.8251972286913336,5.271101013295977,1.0578985887350165e-06,0.0009163094416187219,6.430921630589296e-06,0.002443073280504923
Zm00001d028366,1.3886507258042116,5.260088058083695,1.1306701926281538e-06,0.0009416743211988478,1.9134849293168524e-06,0.0012555940199826402
Zm00001d037388,-0.9755442766955049,-5.238413665229481,1.4469172448749157e-06,0.0011604276303896824,7.90542855057529e-06,0.002717208727526307
