Gene,log2FC_metabR_v_metabS,t,p,FDR
Zm00001d013385,2.4642927709350033,7.451596535639798,1.1642666261868577e-09,2.5211029523450216e-05
Zm00001d024936,2.8539846767560872,7.227457430962402,3.759905356230319e-09,3.294073292797024e-05
Zm00001d018297,1.0788219488883417,6.9403499423666695,4.5636925641410694e-09,3.294073292797024e-05
Zm00001d023579,1.192470904636128,6.468954490752009,2.6384265819864083e-08,0.0001428312230158342
Zm00001d036839,1.4303032761146115,6.652957257529691,5.753291591793127e-08,0.00024916355225737676
Zm00001d003064,-0.7038529789545294,-6.169519921011352,8.405716944631887e-08,0.0003033623245317648
Zm00001d038703,2.4321125051520793,6.218179947606306,1.0329121511617616e-07,0.0003166851745816154
Zm00001d037388,-1.3404312146435209,-6.075055920709526,1.1704642086974587e-07,0.0003166851745816154
Zm00001d051288,1.6382579316747758,6.163252588660443,1.501777359235812e-07,0.0003166851745816154
Zm00001d012882,1.9041284982066053,6.005380696348675,1.5878322097458968e-07,0.0003166851745816154
Zm00001d013635,2.043982689321218,5.990797708524984,1.6087267573648146e-07,0.0003166851745816154
Zm00001d006010,2.0901297418967992,6.227651514354374,2.0847841962379107e-07,0.00037619930821113095
Zm00001d002836,-1.4726928347079173,-5.81251780882249,3.302349953568509e-07,0.0005500698914967114
Zm00001d019335,-1.1603881382142827,-5.597434045025869,6.85780619422351e-07,0.001035131603820638
Zm00001d045139,1.5791184579566773,5.595394380838659,7.170487696180644e-07,0.001035131603820638
ENSRNA049475596,1.8375671567250424,5.510552815600158,9.593841601265196e-07,0.0012984065377112284
Zm00001d033948,2.6771053177804043,5.450408100803005,1.1688400708057378e-06,0.001488827229013379
Zm00001d048373,1.9953238190212117,5.40979616879663,1.3700169553191398e-06,0.0016074859890277636
Zm00001d049390,-1.8190105925847677,-5.408461485985433,1.410466139813776e-06,0.0016074859890277636
Zm00001d037004,-0.8912013242789181,-5.386685338490008,1.5566337530827718e-06,0.0016152098009112694
Zm00001d045540,2.380784375382147,5.8528295132557036,1.5752475843207654e-06,0.0016152098009112694
Zm00001d008619,-0.5788134363400674,-5.376511109347454,1.6410185471528552e-06,0.0016152098009112694
Zm00001d053608,1.7719147492648122,5.409834205364052,1.781219648180263e-06,0.0016769795765954527
Zm00001d036956,1.3940471334702371,5.272669943351773,2.2731492849527295e-06,0.001973105543397556
Zm00001d046455,1.1832521291124922,5.424816063881767,2.2779919915460837e-06,0.001973105543397556
Zm00001d031204,-1.2284589523262208,-5.263875623625915,2.6001802242305746e-06,0.002165550099057264
Zm00001d038954,2.669324559840669,5.331858042553167,2.8176348266301496e-06,0.0021705574122556767
Zm00001d032897,1.9791742862621957,5.232372547997081,2.848329119372094e-06,0.0021705574122556767
Zm00001d036136,1.577421725068004,5.234712126343826,2.9069070359016635e-06,0.0021705574122556767
Zm00001d026387,1.4646053300343862,5.252773970834184,3.1130256870643218e-06,0.0022469819409230278
Zm00001d009844,-1.2795765650049726,-5.203799553037949,3.3015776248111226e-06,0.002306205222182582
Zm00001d031323,-0.9946587951563357,-5.353750323747413,3.848140695907133e-06,0.0025785115444347533
Zm00001d029703,-1.7386210239087154,-5.200684074806993,3.935254481739959e-06,0.0025785115444347533
Zm00001d004681,-2.036645721021138,-5.132908361528769,4.119615568418711e-06,0.0025785115444347533
Zm00001d042779,1.837843903568933,5.118021721608502,4.190467935658675e-06,0.0025785115444347533
Zm00001d038288,1.7600288171068468,5.088454550675888,4.359790798006468e-06,0.0025785115444347533
Zm00001d017985,-0.47050551082838776,-5.085705857415183,4.405880075001656e-06,0.0025785115444347533
Zm00001d017152,-0.6874366695604497,-5.054601654937647,5.243879608378168e-06,0.0028799926877442292
Zm00001d032810,0.8343430212367604,5.0535143061712375,5.379459608646432e-06,0.0028799926877442292
Zm00001d022060,1.3151698154275278,5.284640004677849,5.401480170335218e-06,0.0028799926877442292
Zm00001d028109,-0.5445947538091467,-5.0442910910689625,5.453020236331089e-06,0.0028799926877442292
Zm00001d053453,1.6687141219430122,5.175267366981286,5.637393932440715e-06,0.0029064792431683626
Zm00001d033300,-1.7410793544949836,-5.044659818570383,6.189613030785095e-06,0.0031169739667121035
Zm00001d027655,1.7377413623528488,4.983321897858678,6.6701190936702195e-06,0.003219367565728507
Zm00001d029448,-0.6489061748070926,-4.9944249632742785,6.847369543776935e-06,0.003219367565728507
Zm00001d009938,-1.4697843860401094,-4.969918680829692,6.865819125431959e-06,0.003219367565728507
Zm00001d034624,-0.6683171477991579,-4.959793204588105,6.98763626070194e-06,0.003219367565728507
Zm00001d021867,-1.2224274529405963,-4.978035061676247,7.802873281868791e-06,0.003520071209283058
Zm00001d043752,-1.1950123054322626,-4.986070576571717,8.370204558023289e-06,0.003698947132641557
Zm00001d034497,2.1318268119506234,4.887548349719771,8.956400584157066e-06,0.0038515744478404093
Zm00001d043480,-0.7629459337703588,-4.992528128894058,9.071316931738288e-06,0.0038515744478404093
Zm00001d019040,1.1113805685347806,4.831911969668186,1.1424367026481023e-05,0.004757370069065771
Zm00001d013565,-1.1085433241887364,-5.034326411884606,1.2114704977792722e-05,0.00486841537361682
Zm00001d046981,-1.3150164890172973,-4.855073210455914,1.2140686717248927e-05,0.00486841537361682
Zm00001d039469,-1.293107163740006,-4.895075441603373,1.2525733892137766e-05,0.004931495303642749
Zm00001d006771,0.6766527126307365,4.882216937489009,1.3524453388061322e-05,0.005229616315447855
Zm00001d013384,1.292410599027391,4.906048881982418,1.4093867709437858e-05,0.00535418616456434
Zm00001d044650,1.543489925803224,4.746998891591741,1.4713498229842236e-05,0.005436078241912121
Zm00001d023294,2.800995793467976,4.808883953924473,1.4811518254032285e-05,0.005436078241912121
Zm00001d018786,0.9494975731991812,5.0523968311889815,1.58524319080127e-05,0.005721142675601784
Zm00001d050218,-0.8284102577495673,-4.74173673735108,1.6587412006740806e-05,0.00588825933760599
Zm00001d028745,1.8184140202287975,4.704274558109403,1.7458371465440206e-05,0.006097477027623262
Zm00001d008320,-0.9853605678319168,-4.762478772317309,1.8306795582315655e-05,0.006246598215253977
Zm00001d031586,1.463650931786657,4.819797449823268,1.8462283447688857e-05,0.006246598215253977
Zm00001d031898,-0.5558174639454032,-4.669221949927085,1.946700231886848e-05,0.006485207203273509
Zm00001d007442,-1.0891443095230633,-4.838547315470462,1.987221703285366e-05,0.006519893751960805
Zm00001d051900,1.2726462459160421,4.792455030038613,2.034250443542676e-05,0.006574575985742255
Zm00001d006016,1.7925634658286607,4.716246707636667,2.119997859683004e-05,0.006698754813043594
Zm00001d022354,0.8375003645807988,4.655854112605803,2.163111925481776e-05,0.006698754813043594
Zm00001d016918,-1.1088537185204324,-4.74966033671656,2.1654790658217954e-05,0.006698754813043594
Zm00001d029586,-1.1925526952102723,-4.657687302925631,2.242816648378491e-05,0.006840274887885613
Zm00001d018036,-0.8865958131518412,-4.749940042380615,2.2993560175020748e-05,0.006893448023336922
Zm00001d017866,-1.6098016010298823,-4.6276959399656965,2.3239203182026195e-05,0.006893448023336922
Zm00001d019565,2.0922104068601683,4.622914745278459,2.4727949323244915e-05,0.007172013197651341
Zm00001d034555,1.5787385865697379,4.603970073859445,2.48407217984599e-05,0.007172013197651341
Zm00001d044172,-0.5804346935808757,-4.7699500949560445,2.6027613831160956e-05,0.007415815130262624
Zm00001d038879,1.0681847536424183,4.620323669525396,2.6641811446570972e-05,0.007492230974857765
Zm00001d005456,-1.2662468718436628,-4.574261190623634,2.7183131498590375e-05,0.007546455506031744
Zm00001d008283,1.335089636943952,4.7057026570552285,2.791547979133157e-05,0.007651668346854352
Zm00001d000077,-2.0781852850319678,-4.553319054797848,2.9862819076890036e-05,0.008068242322145761
Zm00001d041684,-1.014451300072989,-4.571394634650071,3.0180457564136268e-05,0.008068242322145761
Zm00001d051424,-0.9350121138314549,-4.54268875004779,3.107878579926176e-05,0.008207073508502612
Zm00001d027290,2.436039598840277,4.513550770459215,3.458115017031178e-05,0.008925823831930349
Zm00001d023213,-1.9805665169967899,-4.545719174628703,3.4891957096399003e-05,0.008925823831930349
Zm00001d007594,0.516577311341667,4.570411700593955,3.50371767670675e-05,0.008925823831930349
Zm00001d015429,-0.9414945820612788,-4.520515085738901,3.798850352248812e-05,0.009565151805534392
Zm00001d012465,-0.8544035862614154,-4.546220199467005,3.900577979583369e-05,0.009708404088494054
Zm00001d042993,-0.9676670037604396,-4.5039715263162705,4.028018477424305e-05,0.009911671830698398
Zm00001d027291,1.6007405011496063,4.4452333368961705,4.204023388520238e-05,0.010139455915694064
Zm00001d032098,-1.1939748797822207,-4.446056428803393,4.214237703945995e-05,0.010139455915694064
Zm00001d017992,-1.6320547422556377,-4.4415962224935726,4.261848539775601e-05,0.010141326184648447
Zm00001d039991,1.7772739817033996,4.429408982649425,4.4943959018049516e-05,0.010578440093226567
Zm00001d053409,-1.0508359132595135,-4.415432364714938,4.65470302391883e-05,0.010837950460208426
Zm00001d040357,-0.40749084606811437,-4.408216049482927,4.7729027009319074e-05,0.01087147436943514
Zm00001d032268,-0.5267674269308493,-4.412908722262307,4.7746146891272915e-05,0.01087147436943514
Zm00001d051873,-1.0052680949803428,-4.566378267909503,4.8197170936814135e-05,0.01087147436943514
Zm00001d026448,1.384579259895022,4.413329205589322,4.9045017187969197e-05,0.01094866806379675
Zm00001d021582,-0.6022861010093461,-4.402758423263758,4.960070013110013e-05,0.01095973021060043
Zm00001d022062,1.2755059452210347,4.412005547422997,5.02753590304661e-05,0.010996592166118313
Zm00001d008720,-1.2613422283806375,-4.3921014265144525,5.1354761686946266e-05,0.011065689874249805
Zm00001d025846,1.2814952916102893,4.452001795386557,5.197637775308668e-05,0.011065689874249805
Zm00001d049061,-1.7086005016063668,-4.5197844945784205,5.261055941170138e-05,0.011065689874249805
Zm00001d021070,-0.6827039152533603,-4.381691355893678,5.265678652460108e-05,0.011065689874249805
Zm00001d029525,2.0749399365068726,4.548743211470546,5.314638158871247e-05,0.011065689874249805
Zm00001d034359,0.7923718464344703,4.416452805323692,5.381213006597928e-05,0.011097598709035384
Zm00001d046961,1.7355779383730257,4.490393422777933,5.441405929152272e-05,0.011115868300930499
Zm00001d013516,-1.2461723569610899,-4.387841936938012,5.555078484633806e-05,0.011242025187500976
Zm00001d023216,-1.436198031273192,-4.42881113623755,5.6643119819041556e-05,0.011329232158436451
Zm00001d048176,-1.108662066672953,-4.517338051962708,5.7028092050871574e-05,0.011329232158436451
ENSRNA049475591,-1.746130997932668,-4.348591412095551,5.913970035935894e-05,0.011492997183195538
Zm00001d037200,-0.4056925505494,-4.346883579815558,5.922000618156128e-05,0.011492997183195538
