Gene,sF1,sF2,sF3
ENSRNA049460169,0.0,-0.0,-0.0
ENSRNA049463865,-0.0,-0.0,0.0
ENSRNA049474888,0.0,-0.0,-0.0
ENSRNA049475591,-0.0,0.0,0.0
ENSRNA049475596,0.0,-0.29767042212595995,-0.0
ENSRNA049477136,0.0,-0.0,0.0
ZeamMp050,-0.0,-0.0,0.0
Zm00001d000077,-0.0,0.0,0.0
Zm00001d000113,-0.0,-0.0,0.0
Zm00001d000116,-0.0,0.0,0.0
Zm00001d000195,-0.0,0.0,0.0
Zm00001d000228,0.0,-0.0,0.0
Zm00001d000237,0.0,0.0,0.0
Zm00001d000294,-0.17561343923426437,-0.0,-0.0
Zm00001d000502,0.0,0.0,-0.0
Zm00001d000508,-0.0,-0.0,-0.0
Zm00001d000553,-0.0,0.0,0.0
Zm00001d000843,-0.0,-0.0,0.0
Zm00001d000909,-0.0,-0.0,0.0
Zm00001d001497,-0.0,0.0,0.0
Zm00001d001770,-0.0,0.0,0.0
Zm00001d001773,0.0,-0.0,-0.0
Zm00001d001774,0.0,-0.0,-0.0
Zm00001d001826,0.0,0.0,0.0
Zm00001d001841,0.0,-0.0,0.0
Zm00001d001856,-0.0,0.0,-0.0
Zm00001d001858,-0.0,0.0,0.0
Zm00001d001864,-0.0,0.0,0.0
Zm00001d001984,-0.0,-0.0,-0.0
Zm00001d001988,0.0,-0.0,-0.0
Zm00001d002004,0.0,-0.0,-0.0
Zm00001d002007,0.0,0.0,0.0
Zm00001d002012,0.0,-0.0,-0.0
Zm00001d002111,0.0,0.0,-0.0
Zm00001d002132,0.0,-0.029089164665010797,0.0
Zm00001d002436,0.0,-0.0,-0.0
Zm00001d002437,0.0,-0.0,0.0
Zm00001d002455,0.0,-0.0,0.0
Zm00001d002458,-0.0,-0.0,-0.0
Zm00001d002479,0.0,-0.0,0.0
Zm00001d002489,0.0,-0.0,-0.0
Zm00001d002711,0.0,-0.0,-0.0
Zm00001d002775,0.0,-0.0,-0.0
Zm00001d002796,0.0,-0.0,-0.0
Zm00001d002816,0.0,-0.0,0.0
Zm00001d002836,-0.0,0.0,0.0
Zm00001d002847,-0.0,-0.0,-0.0
Zm00001d002848,-0.0,-0.0,0.0
Zm00001d002898,-0.0,-0.0,0.0
Zm00001d002974,-0.0,-0.2558507509104329,0.0
Zm00001d003021,-0.0,0.0,0.0
Zm00001d003049,0.0,-0.0,-0.0
Zm00001d003148,0.0,-0.0,0.0
Zm00001d003155,0.0,-0.0,0.0
Zm00001d003267,0.0,-0.0,0.0
Zm00001d003301,-0.0,0.0,-0.0
Zm00001d003306,0.0,0.0,-0.0
Zm00001d003352,0.0,0.0,0.0
Zm00001d003452,-0.0,0.0,-0.0
Zm00001d003491,-0.0,0.0,0.0
Zm00001d003492,0.0,0.0,-0.0
Zm00001d003493,0.0,0.0,0.0
Zm00001d003502,0.0,-0.0,0.0
Zm00001d003508,-0.05723674925458083,-0.0,-0.0
Zm00001d003524,0.0,-0.0,0.0
Zm00001d003693,0.0,-0.0,-0.0
Zm00001d003712,0.0,0.0,-0.0
Zm00001d003789,-0.0,0.0,-0.0
Zm00001d003822,0.0,-0.0,-0.0
Zm00001d003945,0.0,-0.0,-0.0
Zm00001d003950,0.0,-0.0,0.0
Zm00001d004123,0.0,-0.0,0.0
Zm00001d004168,-0.0,0.11616412774922247,-0.0
Zm00001d004248,-0.0,0.0,0.0
Zm00001d004407,-0.0,-0.0,0.0
Zm00001d004410,-0.0,0.0,-0.0
Zm00001d004586,0.0,-0.0,0.0
Zm00001d004587,0.0,-0.0,0.0
Zm00001d004589,-0.0,0.0,-0.0
Zm00001d004681,-0.0,0.1186068122608695,-0.0
Zm00001d004804,-0.0,0.0,-0.0
Zm00001d005018,0.0,-0.0,-0.0
Zm00001d005193,0.0,-0.0,-0.0
Zm00001d005308,-0.0,0.0,0.0
Zm00001d005351,-0.0,-0.0,-0.0
Zm00001d005421,0.0,0.0,-0.0
Zm00001d005456,-0.0,0.0,0.0
Zm00001d005460,0.0,-0.0,0.0
Zm00001d005489,0.0,-0.007805046302802301,-0.0
Zm00001d005495,-0.0,0.0,-0.0
Zm00001d005627,0.0,-0.0,0.0
